SITE CODE,Year,Month,Day,Hour,BarometricPressure(hPa),BarometricPressure(PSI)
SMO,2020,1,1,0,994.48,14.41996
SMO,2020,1,1,1,993.99,14.412855
SMO,2020,1,1,2,993.54,14.40633
SMO,2020,1,1,3,993.7,14.40865
SMO,2020,1,1,4,994.28,14.41706
SMO,2020,1,1,5,995.32,14.43214
SMO,2020,1,1,6,996.05,14.442725
SMO,2020,1,1,7,996.42,14.44809
SMO,2020,1,1,8,996.68,14.45186
SMO,2020,1,1,9,996.93,14.455485
SMO,2020,1,1,10,996.48,14.44896
SMO,2020,1,1,11,995.79,14.438955
SMO,2020,1,1,12,995.1,14.42895
SMO,2020,1,1,13,994.73,14.423585
SMO,2020,1,1,14,994.89,14.425905
SMO,2020,1,1,15,995.11,14.429095
SMO,2020,1,1,16,995.67,14.437215
SMO,2020,1,1,17,996.35,14.447075
SMO,2020,1,1,18,996.86,14.45447
SMO,2020,1,1,19,997.15,14.458675
SMO,2020,1,1,20,997.46,14.46317
SMO,2020,1,1,21,997.12,14.45824
SMO,2020,1,1,22,996.79,14.453455
SMO,2020,1,1,23,996.46,14.44867
SMO,2020,1,2,0,996.28,14.44606
SMO,2020,1,2,1,995.88,14.44026
SMO,2020,1,2,2,995.48,14.43446
SMO,2020,1,2,3,995.61,14.436345
SMO,2020,1,2,4,996.16,14.44432
SMO,2020,1,2,5,996.86,14.45447
SMO,2020,1,2,6,997.53,14.464185
SMO,2020,1,2,7,998,14.471
SMO,2020,1,2,8,998.52,14.47854
SMO,2020,1,2,9,998.9,14.48405
SMO,2020,1,2,10,998.92,14.48434
SMO,2020,1,2,11,998.4,14.4768
SMO,2020,1,2,12,997.84,14.46868
SMO,2020,1,2,13,997.22,14.45969
SMO,2020,1,2,14,997.06,14.45737
SMO,2020,1,2,15,997.02,14.45679
SMO,2020,1,2,16,997.49,14.463605
SMO,2020,1,2,17,998.18,14.47361
SMO,2020,1,2,18,998.74,14.48173
SMO,2020,1,2,19,998.84,14.48318
SMO,2020,1,2,20,998.86,14.48347
SMO,2020,1,2,21,998.72,14.48144
SMO,2020,1,2,22,998.27,14.474915
SMO,2020,1,2,23,997.84,14.46868
SMO,2020,1,3,0,997.35,14.461575
SMO,2020,1,3,1,996.83,14.454035
SMO,2020,1,3,2,996.35,14.447075
SMO,2020,1,3,3,996.43,14.448235
SMO,2020,1,3,4,997.01,14.456645
SMO,2020,1,3,5,997.68,14.46636
SMO,2020,1,3,6,998.29,14.475205
SMO,2020,1,3,7,998.96,14.48492
SMO,2020,1,3,8,999.48,14.49246
SMO,2020,1,3,9,999.97,14.499565
SMO,2020,1,3,10,999.83,14.497535
SMO,2020,1,3,11,999.22,14.48869
SMO,2020,1,3,12,998.59,14.479555
SMO,2020,1,3,13,998.36,14.47622
SMO,2020,1,3,14,997.89,14.469405
SMO,2020,1,3,15,998.06,14.47187
SMO,2020,1,3,16,998.57,14.479265
SMO,2020,1,3,17,999.27,14.489415
SMO,2020,1,3,18,999.87,14.498115
SMO,2020,1,3,19,1000.14,14.50203
SMO,2020,1,3,20,1000.19,14.502755
SMO,2020,1,3,21,1000,14.5
SMO,2020,1,3,22,999.87,14.498115
SMO,2020,1,3,23,999.49,14.492605
