"Plot Title: ASPA Hobo 2_10.19.2022"
"#","Date Time, GMT-11:00","Abs Pres, psi (LGR S/N: 20064797, SEN S/N: 20064797)","Temp, °F (LGR S/N: 20064797, SEN S/N: 20064797)","Coupler Detached (LGR S/N: 20064797)","Coupler Attached (LGR S/N: 20064797)","Host Connected (LGR S/N: 20064797)","Stopped (LGR S/N: 20064797)","End Of File (LGR S/N: 20064797)"
1,10/19/22 02:45:00 PM,14.6975,87.733,Logged,,,,
2,10/19/22 03:00:00 PM,14.6916,86.459,,,,,
3,10/19/22 03:15:00 PM,14.6923,85.915,,,,,
4,10/19/22 03:30:00 PM,14.6884,85.374,,,,,
5,10/19/22 03:45:00 PM,14.6880,85.194,,,,,
6,10/19/22 04:00:00 PM,14.6874,85.014,,,,,
7,10/19/22 04:15:00 PM,14.6868,84.834,,,,,
8,10/19/22 04:30:00 PM,14.6915,84.834,,,,,
9,10/19/22 04:45:00 PM,14.6933,84.654,,,,,
10,10/19/22 05:00:00 PM,14.6933,84.654,,,,,
11,10/19/22 05:15:00 PM,14.6910,84.654,,,,,
12,10/19/22 05:30:00 PM,14.6904,84.474,,,,,
13,10/19/22 05:45:00 PM,14.6951,84.474,,,,,
14,10/19/22 06:00:00 PM,14.6997,84.474,,,,,
15,10/19/22 06:15:00 PM,14.7031,84.834,,,,,
16,10/19/22 06:30:00 PM,14.7070,85.374,,,,,
17,10/19/22 06:45:00 PM,14.7062,85.915,,,,,
18,10/19/22 07:00:00 PM,14.7119,86.277,,,,,
19,10/19/22 07:15:00 PM,14.7152,86.641,,,,,
20,10/19/22 07:30:00 PM,14.7180,86.823,,,,,
21,10/19/22 07:45:00 PM,14.7232,87.004,,,,,
22,10/19/22 08:00:00 PM,14.7261,87.186,,,,,
23,10/19/22 08:15:00 PM,14.7284,87.186,,,,,
24,10/19/22 08:30:00 PM,14.7308,87.186,,,,,
25,10/19/22 08:45:00 PM,14.7331,87.186,,,,,
26,10/19/22 09:00:00 PM,14.7354,87.186,,,,,
27,10/19/22 09:15:00 PM,14.7348,87.004,,,,,
28,10/19/22 09:30:00 PM,14.7371,87.004,,,,,
29,10/19/22 09:45:00 PM,14.7389,86.823,,,,,
30,10/19/22 10:00:00 PM,14.7361,86.641,,,,,
31,10/19/22 10:15:00 PM,14.7379,86.459,,,,,
32,10/19/22 10:30:00 PM,14.7363,85.915,,,,,
33,10/19/22 10:45:00 PM,14.7350,84.654,,,,,
34,10/19/22 11:00:00 PM,14.7347,83.757,,,,,
35,10/19/22 11:15:00 PM,14.7309,83.221,,,,,
36,10/19/22 11:30:00 PM,14.7286,83.221,,,,,
37,10/19/22 11:45:00 PM,14.7245,83.399,,,,,
38,10/20/22 12:00:00 AM,14.7250,83.579,,,,,
39,10/20/22 12:15:00 AM,14.7232,83.757,,,,,
40,10/20/22 12:30:00 AM,14.7186,83.757,,,,,
41,10/20/22 12:45:00 AM,14.7139,83.757,,,,,
42,10/20/22 01:00:00 AM,14.7116,83.757,,,,,
43,10/20/22 01:15:00 AM,14.7093,83.757,,,,,
44,10/20/22 01:30:00 AM,14.7070,83.757,,,,,
45,10/20/22 01:45:00 AM,14.7023,83.757,,,,,
46,10/20/22 02:00:00 AM,14.7000,83.757,,,,,
47,10/20/22 02:15:00 AM,14.6973,83.579,,,,,
48,10/20/22 02:30:00 AM,14.6949,83.579,,,,,
49,10/20/22 02:45:00 AM,14.6920,83.399,,,,,
50,10/20/22 03:00:00 AM,14.6920,83.399,,,,,
51,10/20/22 03:15:00 AM,14.6893,83.221,,,,,
