"Plot Title: 4.1.5 Vaipito 1.14.2022"
"#","Date Time, GMT-08:00","Abs Pres, psi (LGR S/N: 10699249, SEN S/N: 10699249)","Temp, °F (LGR S/N: 10699249, SEN S/N: 10699249)","Coupler Detached (LGR S/N: 10699249)","Coupler Attached (LGR S/N: 10699249)","Host Connected (LGR S/N: 10699249)","Stopped (LGR S/N: 10699249)","End Of File (LGR S/N: 10699249)"
1,01/14/22 03:15:00 PM,14.5695,83.043,Logged,,,,
2,01/14/22 03:30:00 PM,14.5629,81.090,,,,,
3,01/14/22 03:45:00 PM,14.5679,80.559,,,,,
4,01/14/22 04:00:00 PM,14.5712,80.206,,,,,
5,01/14/22 04:15:00 PM,14.5706,80.029,,,,,
6,01/14/22 04:30:00 PM,14.5701,79.853,,,,,
7,01/14/22 04:45:00 PM,14.5650,79.678,,,,,
8,01/14/22 05:00:00 PM,14.5672,79.678,,,,,
9,01/14/22 05:15:00 PM,14.5695,79.678,,,,,
10,01/14/22 05:30:00 PM,14.5711,79.502,,,,,
11,01/14/22 05:45:00 PM,14.5711,79.502,,,,,
12,01/14/22 06:00:00 PM,14.5801,79.502,,,,,
13,01/14/22 06:15:00 PM,14.6521,79.502,,,,,
14,01/14/22 06:30:00 PM,14.5418,79.502,,,,,
15,01/14/22 06:45:00 PM,14.5750,79.326,,,,,
16,01/14/22 07:00:00 PM,14.5818,79.326,,,,,
17,01/14/22 07:15:00 PM,14.5947,79.151,,,,,
18,01/14/22 07:30:00 PM,14.5857,79.151,,,,,
19,01/14/22 07:45:00 PM,14.5941,78.975,,,,,
20,01/14/22 08:00:00 PM,14.6008,78.975,,,,,
21,01/14/22 08:15:00 PM,14.6002,78.800,,,,,
22,01/14/22 08:30:00 PM,14.6002,78.800,,,,,
23,01/14/22 08:45:00 PM,14.6070,78.800,,,,,
24,01/14/22 09:00:00 PM,14.6047,78.800,,,,,
25,01/14/22 09:15:00 PM,14.6086,78.624,,,,,
26,01/14/22 09:30:00 PM,14.6110,78.624,,,,,
27,01/14/22 09:45:00 PM,14.6131,78.624,,,,,
28,01/14/22 10:00:00 PM,14.6086,78.624,,,,,
29,01/14/22 10:15:00 PM,14.6126,78.449,,,,,
30,01/14/22 10:30:00 PM,14.6059,78.449,,,,,
31,01/14/22 10:45:00 PM,14.6081,78.449,,,,,
32,01/14/22 11:00:00 PM,14.6059,78.449,,,,,
33,01/14/22 11:15:00 PM,14.6036,78.449,,,,,
34,01/14/22 11:30:00 PM,14.6020,78.624,,,,,
35,01/14/22 11:45:00 PM,14.6065,78.624,,,,,
36,01/15/22 12:00:00 AM,14.6014,78.449,,,,,
37,01/15/22 12:15:00 AM,14.5991,78.449,,,,,
38,01/15/22 12:30:00 AM,14.5946,78.449,,,,,
39,01/15/22 12:45:00 AM,14.5901,78.449,,,,,
40,01/15/22 01:00:00 AM,14.5878,78.449,,,,,
41,01/15/22 01:15:00 AM,14.5878,78.449,,,,,
42,01/15/22 01:30:00 AM,14.5878,78.449,,,,,
43,01/15/22 01:45:00 AM,14.5856,78.449,,,,,
44,01/15/22 02:00:00 AM,14.5833,78.449,,,,,
45,01/15/22 02:15:00 AM,14.5811,78.449,,,,,
46,01/15/22 02:30:00 AM,14.5811,78.449,,,,,
47,01/15/22 02:45:00 AM,14.5743,78.449,,,,,
48,01/15/22 03:00:00 AM,14.5788,78.449,,,,,
49,01/15/22 03:15:00 AM,14.5788,78.449,,,,,
50,01/15/22 03:30:00 AM,14.5743,78.449,,,,,
51,01/15/22 03:45:00 AM,14.5743,78.449,,,,,
52,01/15/22 04:00:00 AM,14.5721,78.449,,,,,
53,01/15/22 04:15:00 AM,14.5698,78.449,,,,,
54,01/15/22 04:30:00 AM,14.5721,78.449,,,,,
55,01/15/22 04:45:00 AM,14.5743,78.449,,,,,
56,01/15/22 05:00:00 AM,14.5743,78.449,,,,,
57,01/15/22 05:15:00 AM,14.5788,78.449,,,,,
58,01/15/22 05:30:00 AM,14.5811,78.449,,,,,
59,01/15/22 05:45:00 AM,14.5833,78.449,,,,,
60,01/15/22 06:00:00 AM,14.5833,78.449,,,,,
61,01/15/22 06:15:00 AM,14.5922,78.449,,,,,
62,01/15/22 06:30:00 AM,14.5946,78.449,,,,,
