OBJECTID,VILLAGE,FREQUENCY,SUM_len_ft
1, ,3,7447.627569444999608
2,Afao,1,4896.489880310000444
3,Afono,16,13949.405257078999057
4,Agugulu,2,6198.401235400000587
5,Alao,19,15501.060594129698075
6,Alega,10,7887.335862329000520
7,Alofau,4,3657.962309231999825
8,Amaluia,5,8791.849772280000252
9,Amanave,2,6120.579163829999743
10,Amaua,6,6115.385194217000389
11,Amouli,9,9486.684289765000358
12,Aoa,16,15079.017806376401495
13,Asili,7,15037.608338375999665
14,Aua,11,12792.229518510001071
15,Auasi,4,4293.001820258999942
16,Aumi,9,7921.533919080859960
17,Auto,11,10811.917347415001132
18,Avaio,1,1150.750628320000033
19,Fagaalu,36,26357.932466204096272
20,Fagaitua,18,13135.756752871000572
21,Fagalii,5,10649.116357336000874
22,Fagamalo,3,4503.202713667000353
23,Faganeanea,5,6394.377528343000449
24,Fagasa,12,13302.994354043001294
25,Fagatogo,5,4764.700037184000394
26,Failolo,1,3415.943203819999781
27,Laulii,18,19926.077627620001294
28,Leone,17,31072.635141293998458
29,Maloata,14,21030.078196280999691
30,Masausi,5,5242.035894337999707
31,Masefau,13,15956.600286657398101
32,Matuu,1,6628.572849430000133
33,Nuuuli,25,35008.564397965601529
34,Onenoa,2,4771.944549890000417
35,Pagai,3,4411.434181399999943
36,PagoPago,6,13479.964742574000411
37,Poloa,1,4896.405987819999609
38,Sailele,3,2637.581287917000282
39,Seetaga,7,13936.606662473899632
40,Tula,9,12012.964554058000431
41,Utulei,3,1555.878433598999891
42,UtumeaWest,1,4530.159251869999935
43,Vatia,18,18962.076173810000910
