 Usage ,Days of Usage,Billed Amount for Water,MTH/YR OF BILLING,Route#,LOSADD,RSP,Rate,LOMETW,Meter Size,,
 -   ,28,15.21,202205,352,PAVAIAI,RES,R,90277756,"5/8""",,
 190 ,28,16.03,202205,377,NUA,RES,R,90277755,"5/8""",,
" 21,727 ",28,115.84,202205,352,PAVAIAI,RES,R,90277754,"5/8""",,
" 3,914 ",28,32.13,202205,362,TAPUTIMU,RES,R,90277753,"5/8""",,
 -   ,30,15.21,202205,301,NUUULI,RES,R,90277752,"5/8""",,
" 1,175 ",32,20.29,202205,106,AMOULI,RES,R,90277751,"5/8""",,
" 8,673 ",28,52.7,202205,354,MAPUSAGA FOU,RES,R,90277750,"5/8""",,
" 13,033 ",28,73.05,202205,359,MALAELOA,RES,R,90277749,"5/8""",,
" 14,260 ",28,78.97,202205,355,MAPUSAGA FOU,RES,R,90277748,"5/8""",,
" 9,404 ",30,55.85,202205,303,NUUULI,RES,R,90277747,"5/8""",,
" 1,540 ",30,21.87,202205,329,TAFUNA,RES,R,90277746,"5/8""",,
 -   ,30,15.21,202205,322,TAFUNA,RES,R,90277745,"5/8""",,
" 28,068 ",32,149.59,202205,323,TAFUNA,RES,R,90277744,"5/8""",,
" 29,240 ",32,155.82,202205,323,TAFUNA,RES,R,90277743,"5/8""",,
" 16,857 ",32,91.49,202205,323,TAFUNA,RES,R,90277742,"5/8""",,
" 9,924 ",32,58.1,202205,323,TAFUNA,RES,R,90277741,"5/8""",,
 11 ,32,15.26,202205,323,TAFUNA,RES,R,90277740,"5/8""",,
" 2,779 ",32,27.22,202205,323,TAFUNA,RES,R,90277739,"5/8""",,
" 41,404 ",32,226.27,202205,323,TAFUNA,RES,R,90277738,"5/8""",,
" 9,632 ",32,56.84,202205,323,TAFUNA,RES,R,90277737,"5/8""",,
" 16,547 ",32,90,202205,323,TAFUNA,RES,R,90277736,"5/8""",,
" 2,554 ",32,26.25,202205,323,TAFUNA,RES,R,90277735,"5/8""",,
" 10,285 ",32,59.8,202205,323,TAFUNA,RES,R,90277734,"5/8""",,
" 2,234 ",32,24.86,202205,323,TAFUNA,RES,R,90277733,"5/8""",,
 4 ,32,15.23,202205,323,TAFUNA,RES,R,90277732,"5/8""",,
" 4,122 ",32,33.03,202205,323,TAFUNA,RES,R,90277731,"5/8""",,
" 11,535 ",32,65.83,202205,323,TAFUNA,RES,R,90277730,"5/8""",,
" 5,141 ",32,37.43,202205,323,TAFUNA,RES,R,90277729,"5/8""",,
 586 ,32,17.74,202205,323,TAFUNA,RES,R,90277728,"5/8""",,
" 8,701 ",32,52.82,202205,323,TAFUNA,RES,R,90277727,"5/8""",,
" 1,192 ",32,20.36,202205,323,TAFUNA,RES,R,90277726,"5/8""",,
" 7,556 ",32,47.86,202205,323,TAFUNA,RES,R,90277725,"5/8""",,
" 2,787 ",32,27.26,202205,323,TAFUNA,RES,R,90277724,"5/8""",,
" 18,687 ",32,100.32,202205,323,TAFUNA,RES,R,90277723,"5/8""",,
" 7,394 ",32,47.17,202205,323,TAFUNA,RES,R,90277722,"5/8""",,
" 9,311 ",32,55.45,202205,323,TAFUNA,RES,R,90277721,"5/8""",,
" 15,947 ",32,87.11,202205,323,TAFUNA,RES,R,90277720,"5/8""",,
" 15,594 ",32,85.4,202205,323,TAFUNA,RES,R,90277719,"5/8""",,
" 3,280 ",32,29.39,202205,323,TAFUNA,RES,R,90277718,"5/8""",,
" 9,505 ",32,56.29,202205,323,TAFUNA,RES,R,90277717,"5/8""",,
 989 ,32,19.49,202205,323,TAFUNA,RES,R,90277716,"5/8""",,
" 105,748 ",32,600.88,202205,323,TAFUNA,RES,R,90277715,"5/8""",,
" 11,498 ",32,65.65,202205,323,TAFUNA,RES,R,90277714,"5/8""",,
" 9,858 ",32,57.82,202205,323,TAFUNA,RES,R,90277713,"5/8""",,
 275 ,30,16.4,202205,322,NUUULI,RES,R,90277712,"5/8""",,
" 5,932 ",28,40.85,202205,368,LEONE,RES,R,90277711,"5/8""",,
" 3,178 ",30,28.95,202205,332,ILIILI,RES,R,90277710,"5/8""",,
" 10,496 ",30,60.83,202205,346,FALENIU,RES,R,90277709,"5/8""",,
" 42,825 ",32,234.54,202205,222,AUA,RES,R,90277708,"5/8""",,
" 3,959 ",30,32.32,202205,206,PAGO PAGO,RES,R,90277707,"5/8""",,
 -   ,30,15.21,202205,206,PAGO PAGO,SGS,C,90277706,"5/8""",,
" 35,881 ",30,194.11,202205,206,PAGO PAGO,RES,R,90277705,"5/8""",,
